"LOCATION","Country","INDICATOR","Indicator","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","P51S11_S12SP51","Gross fixed capital formation, Corporations, percentage of total GFCF","2013","2013",,,"0","Units",,,59.6201547862265,,
"AUS","Australia","P51S11_S12SP51","Gross fixed capital formation, Corporations, percentage of total GFCF","2014","2014",,,"0","Units",,,54.8541522792083,,
"AUS","Australia","P51S11_S12SP51","Gross fixed capital formation, Corporations, percentage of total GFCF","2015","2015",,,"0","Units",,,50.5475729264334,,
"AUS","Australia","P51S11_S12SP51","Gross fixed capital formation, Corporations, percentage of total GFCF","2016","2016",,,"0","Units",,,46.4761173806343,,
"AUS","Australia","P51S11_S12SP51","Gross fixed capital formation, Corporations, percentage of total GFCF","2017","2017",,,"0","Units",,,47.5844636690519,,
"AUS","Australia","P51S11_S12SP51","Gross fixed capital formation, Corporations, percentage of total GFCF","2018","2018",,,"0","Units",,,48.3076956957398,,
"AUS","Australia","P51S11_S12SP51","Gross fixed capital formation, Corporations, percentage of total GFCF","2019","2019",,,"0","Units",,,49.154376975129,,
"AUS","Australia","P51S11_S12SP51","Gross fixed capital formation, Corporations, percentage of total GFCF","2020","2020",,,"0","Units",,,47.8965939552769,,
"AUS","Australia","P51S11_S12SP51","Gross fixed capital formation, Corporations, percentage of total GFCF","2021","2021",,,"0","Units",,,47.0949063363431,,
"AUS","Australia","P51S13SP51","Gross fixed capital formation, General government, percentage of total GFCF","2000","2000",,,"0","Units",,,12.9720903879077,,
"AUS","Australia","P51S13SP51","Gross fixed capital formation, General government, percentage of total GFCF","2001","2001",,,"0","Units",,,12.2243987376211,,
"AUS","Australia","P51S13SP51","Gross fixed capital formation, General government, percentage of total GFCF","2002","2002",,,"0","Units",,,11.0065388218649,,
"AUS","Australia","P51S13SP51","Gross fixed capital formation, General government, percentage of total GFCF","2003","2003",,,"0","Units",,,10.1780871923237,,
"AUS","Australia","P51S13SP51","Gross fixed capital formation, General government, percentage of total GFCF","2004","2004",,,"0","Units",,,10.519620275952,,
"AUS","Australia","P51S13SP51","Gross fixed capital formation, General government, percentage of total GFCF","2005","2005",,,"0","Units",,,10.6855883877657,,
"AUS","Australia","P51S13SP51","Gross fixed capital formation, General government, percentage of total GFCF","2006","2006",,,"0","Units",,,10.8696162186257,,
"AUS","Australia","P51S13SP51","Gross fixed capital formation, General government, percentage of total GFCF","2007","2007",,,"0","Units",,,11.3632197792622,,
"AUS","Australia","P51S13SP51","Gross fixed capital formation, General government, percentage of total GFCF","2008","2008",,,"0","Units",,,12.2485144220966,,
"AUS","Australia","P51S13SP51","Gross fixed capital formation, General government, percentage of total GFCF","2009","2009",,,"0","Units",,,15.6511478832092,,
"AUS","Australia","P51S13SP51","Gross fixed capital formation, General government, percentage of total GFCF","2010","2010",,,"0","Units",,,14.5930525528698,,
"AUS","Australia","P51S13SP51","Gross fixed capital formation, General government, percentage of total GFCF","2011","2011",,,"0","Units",,,13.3589920641095,,
"AUS","Australia","P51S13SP51","Gross fixed capital formation, General government, percentage of total GFCF","2012","2012",,,"0","Units",,,11.7786147534089,,
"AUS","Australia","P51S13SP51","Gross fixed capital formation, General government, percentage of total GFCF","2013","2013",,,"0","Units",,,11.9009945224477,,
"AUS","Australia","P51S13SP51","Gross fixed capital formation, General government, percentage of total GFCF","2014","2014",,,"0","Units",,,12.0187541987889,,
"AUS","Australia","P51S13SP51","Gross fixed capital formation, General government, percentage of total GFCF","2015","2015",,,"0","Units",,,12.7824129380464,,
"AUS","Australia","P51S13SP51","Gross fixed capital formation, General government, percentage of total GFCF","2016","2016",,,"0","Units",,,14.8360290703734,,
"AUS","Australia","P51S13SP51","Gross fixed capital formation, General government, percentage of total GFCF","2017","2017",,,"0","Units",,,15.4304176011962,,
"AUS","Australia","P51S13SP51","Gross fixed capital formation, General government, percentage of total GFCF","2018","2018",,,"0","Units",,,16.6636202473105,,
"AUS","Australia","P51S13SP51","Gross fixed capital formation, General government, percentage of total GFCF","2019","2019",,,"0","Units",,,17.5561070542234,,
"AUS","Australia","P51S13SP51","Gross fixed capital formation, General government, percentage of total GFCF","2020","2020",,,"0","Units",,,17.4233275952142,,
"AUS","Australia","P51S13SP51","Gross fixed capital formation, General government, percentage of total GFCF","2021","2021",,,"0","Units",,,16.9982681807966,,
"AUS","Australia","P51S14_S15SP51","Gross fixed capital formation, Households and NPISHs, percentage of total GFCF","2000","2000",,,"0","Units",,,38.3125072348099,,
"AUS","Australia","P51S14_S15SP51","Gross fixed capital formation, Households and NPISHs, percentage of total GFCF","2001","2001",,,"0","Units",,,40.2633583632604,,
"AUS","Australia","P51S14_S15SP51","Gross fixed capital formation, Households and NPISHs, percentage of total GFCF","2002","2002",,,"0","Units",,,41.0464026920062,,
"AUS","Australia","P51S14_S15SP51","Gross fixed capital formation, Households and NPISHs, percentage of total GFCF","2003","2003",,,"0","Units",,,42.8100229453484,,
"AUS","Australia","P51S14_S15SP51","Gross fixed capital formation, Households and NPISHs, percentage of total GFCF","2004","2004",,,"0","Units",,,41.1691756243724,,
"AUS","Australia","P51S14_S15SP51","Gross fixed capital formation, Households and NPISHs, percentage of total GFCF","2005","2005",,,"0","Units",,,38.1789643453718,,
"AUS","Australia","P51S14_S15SP51","Gross fixed capital formation, Households and NPISHs, percentage of total GFCF","2006","2006",,,"0","Units",,,37.1253431108043,,
"AUS","Australia","P51S14_S15SP51","Gross fixed capital formation, Households and NPISHs, percentage of total GFCF","2007","2007",,,"0","Units",,,34.4646672255727,,
"AUS","Australia","P51S14_S15SP51","Gross fixed capital formation, Households and NPISHs, percentage of total GFCF","2008","2008",,,"0","Units",,,31.8736519224197,,
"AUS","Australia","P51S14_S15SP51","Gross fixed capital formation, Households and NPISHs, percentage of total GFCF","2009","2009",,,"0","Units",,,31.1315456572177,,
"AUS","Australia","P51S14_S15SP51","Gross fixed capital formation, Households and NPISHs, percentage of total GFCF","2010","2010",,,"0","Units",,,31.1564990761662,,
"AUS","Australia","P51S14_S15SP51","Gross fixed capital formation, Households and NPISHs, percentage of total GFCF","2011","2011",,,"0","Units",,,26.8572998521746,,
"AUS","Australia","P51S14_S15SP51","Gross fixed capital formation, Households and NPISHs, percentage of total GFCF","2012","2012",,,"0","Units",,,26.456789315788,,
"AUS","Australia","P51S14_S15SP51","Gross fixed capital formation, Households and NPISHs, percentage of total GFCF","2013","2013",,,"0","Units",,,28.4788506913257,,
"AUS","Australia","P51S14_S15SP51","Gross fixed capital formation, Households and NPISHs, percentage of total GFCF","2014","2014",,,"0","Units",,,33.1270935220028,,
"AUS","Australia","P51S14_S15SP51","Gross fixed capital formation, Households and NPISHs, percentage of total GFCF","2015","2015",,,"0","Units",,,36.6700141355201,,
"AUS","Australia","P51S14_S15SP51","Gross fixed capital formation, Households and NPISHs, percentage of total GFCF","2016","2016",,,"0","Units",,,38.6878535489923,,
"AUS","Australia","P51S14_S15SP51","Gross fixed capital formation, Households and NPISHs, percentage of total GFCF","2017","2017",,,"0","Units",,,36.9853412367831,,
"AUS","Australia","P51S14_S15SP51","Gross fixed capital formation, Households and NPISHs, percentage of total GFCF","2018","2018",,,"0","Units",,,35.0286840569497,,
"AUS","Australia","P51S14_S15SP51","Gross fixed capital formation, Households and NPISHs, percentage of total GFCF","2019","2019",,,"0","Units",,,33.2895159706476,,
"AUS","Australia","P51S14_S15SP51","Gross fixed capital formation, Households and NPISHs, percentage of total GFCF","2020","2020",,,"0","Units",,,34.6802925584303,,
"AUS","Australia","P51S14_S15SP51","Gross fixed capital formation, Households and NPISHs, percentage of total GFCF","2021","2021",,,"0","Units",,,35.9068254828603,,
"AUS","Australia","P51S","Gross fixed capital formation, percentage of GDP","2000","2000",,,"0","Units",,,23.2193986102623,,
"AUS","Australia","P51S","Gross fixed capital formation, percentage of GDP","2001","2001",,,"0","Units",,,24.3084305732282,,
"AUS","Australia","P51S","Gross fixed capital formation, percentage of GDP","2002","2002",,,"0","Units",,,26.0637303879187,,
"AUS","Australia","P51S","Gross fixed capital formation, percentage of GDP","2003","2003",,,"0","Units",,,26.6450522220421,,
"AUS","Australia","P51S","Gross fixed capital formation, percentage of GDP","2004","2004",,,"0","Units",,,27.02605397621,,
"AUS","Australia","P51S","Gross fixed capital formation, percentage of GDP","2005","2005",,,"0","Units",,,27.8080776531078,,
"AUS","Australia","P51S","Gross fixed capital formation, percentage of GDP","2006","2006",,,"0","Units",,,27.416832370962,,
"AUS","Australia","P51S","Gross fixed capital formation, percentage of GDP","2007","2007",,,"0","Units",,,28.2230550233939,,
"AUS","Australia","P51S","Gross fixed capital formation, percentage of GDP","2008","2008",,,"0","Units",,,27.6057850040555,,
"AUS","Australia","P51S","Gross fixed capital formation, percentage of GDP","2009","2009",,,"0","Units",,,27.036610719032,,
"AUS","Australia","P51S","Gross fixed capital formation, percentage of GDP","2010","2010",,,"0","Units",,,26.0232106108067,,
"AUS","Australia","P51S","Gross fixed capital formation, percentage of GDP","2011","2011",,,"0","Units",,,27.4165164620685,,
"AUS","Australia","P51S","Gross fixed capital formation, percentage of GDP","2012","2012",,,"0","Units",,,27.855291708808,,
"AUS","Australia","P51S","Gross fixed capital formation, percentage of GDP","2013","2013",,,"0","Units",,,26.8831982044255,,
"AUS","Australia","P51S","Gross fixed capital formation, percentage of GDP","2014","2014",,,"0","Units",,,26.2253858640243,,
"AUS","Australia","P51S","Gross fixed capital formation, percentage of GDP","2015","2015",,,"0","Units",,,25.3519376328024,,
"AUS","Australia","P51S","Gross fixed capital formation, percentage of GDP","2016","2016",,,"0","Units",,,24.0016647449324,,
"AUS","Australia","P51S","Gross fixed capital formation, percentage of GDP","2017","2017",,,"0","Units",,,24.3902889069186,,
"AUS","Australia","P51S","Gross fixed capital formation, percentage of GDP","2018","2018",,,"0","Units",,,23.3269273348118,,
"AUS","Australia","P51S","Gross fixed capital formation, percentage of GDP","2019","2019",,,"0","Units",,,22.6359466746419,,
"AUS","Australia","P51S","Gross fixed capital formation, percentage of GDP","2020","2020",,,"0","Units",,,22.4499007171152,,
"AUS","Australia","P51S","Gross fixed capital formation, percentage of GDP","2021","2021",,,"0","Units",,,22.9315420057851,,
"AUT","Austria","P51S1SP51","Gross fixed capital formation by institutional sector, percentage of total GFCF","2000","2000",,,"0","Units",,,100,,
"AUT","Austria","P51S1SP51","Gross fixed capital formation by institutional sector, percentage of total GFCF","2001","2001",,,"0","Units",,,100,,
"AUT","Austria","P51S1SP51","Gross fixed capital formation by institutional sector, percentage of total GFCF","2002","2002",,,"0","Units",,,100,,
"AUT","Austria","P51S1SP51","Gross fixed capital formation by institutional sector, percentage of total GFCF","2003","2003",,,"0","Units",,,100,,
"AUT","Austria","P51S1SP51","Gross fixed capital formation by institutional sector, percentage of total GFCF","2004","2004",,,"0","Units",,,100,,
"AUT","Austria","P51S1SP51","Gross fixed capital formation by institutional sector, percentage of total GFCF","2005","2005",,,"0","Units",,,100,,
"AUT","Austria","P51S1SP51","Gross fixed capital formation by institutional sector, percentage of total GFCF","2006","2006",,,"0","Units",,,100,,
"AUT","Austria","P51S1SP51","Gross fixed capital formation by institutional sector, percentage of total GFCF","2007","2007",,,"0","Units",,,100,,
"AUT","Austria","P51S1SP51","Gross fixed capital formation by institutional sector, percentage of total GFCF","2008","2008",,,"0","Units",,,100,,
"AUT","Austria","P51S1SP51","Gross fixed capital formation by institutional sector, percentage of total GFCF","2009","2009",,,"0","Units",,,100,,
"AUT","Austria","P51S1SP51","Gross fixed capital formation by institutional sector, percentage of total GFCF","2010","2010",,,"0","Units",,,100,,
"AUT","Austria","P51S1SP51","Gross fixed capital formation by institutional sector, percentage of total GFCF","2011","2011",,,"0","Units",,,100,,
"AUT","Austria","P51S1SP51","Gross fixed capital formation by institutional sector, percentage of total GFCF","2012","2012",,,"0","Units",,,100,,
"AUT","Austria","P51S1SP51","Gross fixed capital formation by institutional sector, percentage of total GFCF","2013","2013",,,"0","Units",,,100,,
"AUT","Austria","P51S1SP51","Gross fixed capital formation by institutional sector, percentage of total GFCF","2014","2014",,,"0","Units",,,100,,
"AUT","Austria","P51S1SP51","Gross fixed capital formation by institutional sector, percentage of total GFCF","2015","2015",,,"0","Units",,,100,,
"AUT","Austria","P51S1SP51","Gross fixed capital formation by institutional sector, percentage of total GFCF","2016","2016",,,"0","Units",,,100,,
"AUT","Austria","P51S1SP51","Gross fixed capital formation by institutional sector, percentage of total GFCF","2017","2017",,,"0","Units",,,100,,
"AUT","Austria","P51S1SP51","Gross fixed capital formation by institutional sector, percentage of total GFCF","2018","2018",,,"0","Units",,,100,,
"AUT","Austria","P51S1SP51","Gross fixed capital formation by institutional sector, percentage of total GFCF","2019","2019",,,"0","Units",,,100,,
"AUT","Austria","P51S1SP51","Gross fixed capital formation by institutional sector, percentage of total GFCF","2020","2020",,,"0","Units",,,100,,
"AUT","Austria","P51S1SP51","Gross fixed capital formation by institutional sector, percentage of total GFCF","2021","2021",,,"0","Units",,,100,,
"AUT","Austria","P51S11_S12SP51","Gross fixed capital formation, Corporations, percentage of total GFCF","2000","2000",,,"0","Units",,,63.8856697899035,,
"AUT","Austria","P51S11_S12SP51","Gross fixed capital formation, Corporations, percentage of total GFCF","2001","2001",,,"0","Units",,,65.0467788774532,,
"AUT","Austria","P51S11_S12SP51","Gross fixed capital formation, Corporations, percentage of total GFCF","2002","2002",,,"0","Units",,,63.746319263909,,
"AUT","Austria","P51S11_S12SP51","Gross fixed capital formation, Corporations, percentage of total GFCF","2003","2003",,,"0","Units",,,66.4759015129424,,
"AUT","Austria","P51S11_S12SP51","Gross fixed capital formation, Corporations, percentage of total GFCF","2004","2004",,,"0","Units",,,66.3711922985434,,
"AUT","Austria","P51S11_S12SP51","Gross fixed capital formation, Corporations, percentage of total GFCF","2005","2005",,,"0","Units",,,63.8289081214348,,
"AUT","Austria","P51S11_S12SP51","Gross fixed capital formation, Corporations, percentage of total GFCF","2006","2006",,,"0","Units",,,63.8941754886801,,
"AUT","Austria","P51S11_S12SP51","Gross fixed capital formation, Corporations, percentage of total GFCF","2007","2007",,,"0","Units",,,64.0211249967348,,
"AUT","Austria","P51S11_S12SP51","Gross fixed capital formation, Corporations, percentage of total GFCF","2008","2008",,,"0","Units",,,63.1950030273161,,
"AUT","Austria","P51S11_S12SP51","Gross fixed capital formation, Corporations, percentage of total GFCF","2009","2009",,,"0","Units",,,61.549304283039,,
"AUT","Austria","P51S11_S12SP51","Gross fixed capital formation, Corporations, percentage of total GFCF","2010","2010",,,"0","Units",,,60.4140585878818,,
"AUT","Austria","P51S11_S12SP51","Gross fixed capital formation, Corporations, percentage of total GFCF","2011","2011",,,"0","Units",,,62.9809789471268,,
"AUT","Austria","P51S11_S12SP51","Gross fixed capital formation, Corporations, percentage of total GFCF","2012","2012",,,"0","Units",,,63.7482039607774,,
"AUT","Austria","P51S11_S12SP51","Gross fixed capital formation, Corporations, percentage of total GFCF","2013","2013",,,"0","Units",,,63.9120402628448,,
"AUT","Austria","P51S11_S12SP51","Gross fixed capital formation, Corporations, percentage of total GFCF","2014","2014",,,"0","Units",,,64.5245169400485,,
"AUT","Austria","P51S11_S12SP51","Gross fixed capital formation, Corporations, percentage of total GFCF","2015","2015",,,"0","Units",,,64.7256513492829,,
"AUT","Austria","P51S11_S12SP51","Gross fixed capital formation, Corporations, percentage of total GFCF","2016","2016",,,"0","Units",,,65.4930975782803,,
"AUT","Austria","P51S11_S12SP51","Gross fixed capital formation, Corporations, percentage of total GFCF","2017","2017",,,"0","Units",,,64.671474469148,,
"AUT","Austria","P51S11_S12SP51","Gross fixed capital formation, Corporations, percentage of total GFCF","2018","2018",,,"0","Units",,,65.4089147850479,,
"AUT","Austria","P51S11_S12SP51","Gross fixed capital formation, Corporations, percentage of total GFCF","2019","2019",,,"0","Units",,,65.7389740065489,,
"AUT","Austria","P51S11_S12SP51","Gross fixed capital formation, Corporations, percentage of total GFCF","2020","2020",,,"0","Units",,,64.0051921995282,,
"AUT","Austria","P51S11_S12SP51","Gross fixed capital formation, Corporations, percentage of total GFCF","2021","2021",,,"0","Units",,,64.005322749827,,
"AUT","Austria","P51S13SP51","Gross fixed capital formation, General government, percentage of total GFCF","2000","2000",,,"0","Units",,,10.3693778994739,,
"AUT","Austria","P51S13SP51","Gross fixed capital formation, General government, percentage of total GFCF","2001","2001",,,"0","Units",,,9.74072285983893,,
"AUT","Austria","P51S13SP51","Gross fixed capital formation, General government, percentage of total GFCF","2002","2002",,,"0","Units",,,11.1487645284815,,
"AUT","Austria","P51S13SP51","Gross fixed capital formation, General government, percentage of total GFCF","2003","2003",,,"0","Units",,,10.3018549958227,,
"AUT","Austria","P51S13SP51","Gross fixed capital formation, General government, percentage of total GFCF","2004","2004",,,"0","Units",,,10.1900177704395,,
"AUT","Austria","P51S13SP51","Gross fixed capital formation, General government, percentage of total GFCF","2005","2005",,,"0","Units",,,12.7029846490592,,
"AUT","Austria","P51S13SP51","Gross fixed capital formation, General government, percentage of total GFCF","2006","2006",,,"0","Units",,,12.709316310482,,
"AUT","Austria","P51S13SP51","Gross fixed capital formation, General government, percentage of total GFCF","2007","2007",,,"0","Units",,,12.9939934817984,,
"AUT","Austria","P51S13SP51","Gross fixed capital formation, General government, percentage of total GFCF","2008","2008",,,"0","Units",,,13.919657664667,,
"AUT","Austria","P51S13SP51","Gross fixed capital formation, General government, percentage of total GFCF","2009","2009",,,"0","Units",,,15.0345496311143,,
"AUT","Austria","P51S13SP51","Gross fixed capital formation, General government, percentage of total GFCF","2010","2010",,,"0","Units",,,15.0435027541312,,
"AUT","Austria","P51S13SP51","Gross fixed capital formation, General government, percentage of total GFCF","2011","2011",,,"0","Units",,,13.4708542828937,,
"AUT","Austria","P51S13SP51","Gross fixed capital formation, General government, percentage of total GFCF","2012","2012",,,"0","Units",,,12.9659829824851,,
"AUT","Austria","P51S13SP51","Gross fixed capital formation, General government, percentage of total GFCF","2013","2013",,,"0","Units",,,13.2003923376248,,
"AUT","Austria","P51S13SP51","Gross fixed capital formation, General government, percentage of total GFCF","2014","2014",,,"0","Units",,,13.0478841000521,,
"AUT","Austria","P51S13SP51","Gross fixed capital formation, General government, percentage of total GFCF","2015","2015",,,"0","Units",,,13.1319284648403,,
"AUT","Austria","P51S13SP51","Gross fixed capital formation, General government, percentage of total GFCF","2016","2016",,,"0","Units",,,12.886982378908,,
"AUT","Austria","P51S13SP51","Gross fixed capital formation, General government, percentage of total GFCF","2017","2017",,,"0","Units",,,13.1523647146714,,
"AUT","Austria","P51S13SP51","Gross fixed capital formation, General government, percentage of total GFCF","2018","2018",,,"0","Units",,,12.7277897886835,,
"AUT","Austria","P51S13SP51","Gross fixed capital formation, General government, percentage of total GFCF","2019","2019",,,"0","Units",,,12.5414359057283,,
"AUT","Austria","P51S13SP51","Gross fixed capital formation, General government, percentage of total GFCF","2020","2020",,,"0","Units",,,13.2603613132865,,
"AUT","Austria","P51S13SP51","Gross fixed capital formation, General government, percentage of total GFCF","2021","2021",,,"0","Units",,,13.1683194096248,,
"AUT","Austria","P51S14_S15SP51","Gross fixed capital formation, Households and NPISHs, percentage of total GFCF","2000","2000",,,"0","Units",,,25.7451350985775,,
"AUT","Austria","P51S14_S15SP51","Gross fixed capital formation, Households and NPISHs, percentage of total GFCF","2001","2001",,,"0","Units",,,25.2124982627078,,
"AUT","Austria","P51S14_S15SP51","Gross fixed capital formation, Households and NPISHs, percentage of total GFCF","2002","2002",,,"0","Units",,,25.1049162076094,,
"AUT","Austria","P51S14_S15SP51","Gross fixed capital formation, Households and NPISHs, percentage of total GFCF","2003","2003",,,"0","Units",,,23.2222434912349,,
"AUT","Austria","P51S14_S15SP51","Gross fixed capital formation, Households and NPISHs, percentage of total GFCF","2004","2004",,,"0","Units",,,23.4387899310171,,
"AUT","Austria","P51S14_S15SP51","Gross fixed capital formation, Households and NPISHs, percentage of total GFCF","2005","2005",,,"0","Units",,,23.468107229506,,
"AUT","Austria","P51S14_S15SP51","Gross fixed capital formation, Households and NPISHs, percentage of total GFCF","2006","2006",,,"0","Units",,,23.3966734070814,,
"AUT","Austria","P51S14_S15SP51","Gross fixed capital formation, Households and NPISHs, percentage of total GFCF","2007","2007",,,"0","Units",,,22.9848815214669,,
"AUT","Austria","P51S14_S15SP51","Gross fixed capital formation, Households and NPISHs, percentage of total GFCF","2008","2008",,,"0","Units",,,22.885339308017,,
"AUT","Austria","P51S14_S15SP51","Gross fixed capital formation, Households and NPISHs, percentage of total GFCF","2009","2009",,,"0","Units",,,23.4163009821978,,
"AUT","Austria","P51S14_S15SP51","Gross fixed capital formation, Households and NPISHs, percentage of total GFCF","2010","2010",,,"0","Units",,,24.542438657987,,
"AUT","Austria","P51S14_S15SP51","Gross fixed capital formation, Households and NPISHs, percentage of total GFCF","2011","2011",,,"0","Units",,,23.5481667699796,,
"AUT","Austria","P51S14_S15SP51","Gross fixed capital formation, Households and NPISHs, percentage of total GFCF","2012","2012",,,"0","Units",,,23.2858130567375,,
"AUT","Austria","P51S14_S15SP51","Gross fixed capital formation, Households and NPISHs, percentage of total GFCF","2013","2013",,,"0","Units",,,22.8874334044401,,
"AUT","Austria","P51S14_S15SP51","Gross fixed capital formation, Households and NPISHs, percentage of total GFCF","2014","2014",,,"0","Units",,,22.4277314230383,,
"AUT","Austria","P51S14_S15SP51","Gross fixed capital formation, Households and NPISHs, percentage of total GFCF","2015","2015",,,"0","Units",,,22.1424201858767,,
"AUT","Austria","P51S14_S15SP51","Gross fixed capital formation, Households and NPISHs, percentage of total GFCF","2016","2016",,,"0","Units",,,21.6199200428117,,
"AUT","Austria","P51S14_S15SP51","Gross fixed capital formation, Households and NPISHs, percentage of total GFCF","2017","2017",,,"0","Units",,,22.1762753967927,,
"AUT","Austria","P51S14_S15SP51","Gross fixed capital formation, Households and NPISHs, percentage of total GFCF","2018","2018",,,"0","Units",,,21.8632954262687,,
"AUT","Austria","P51S14_S15SP51","Gross fixed capital formation, Households and NPISHs, percentage of total GFCF","2019","2019",,,"0","Units",,,21.7196911509075,,
"AUT","Austria","P51S14_S15SP51","Gross fixed capital formation, Households and NPISHs, percentage of total GFCF","2020","2020",,,"0","Units",,,22.7344464871853,,
"AUT","Austria","P51S14_S15SP51","Gross fixed capital formation, Households and NPISHs, percentage of total GFCF","2021","2021",,,"0","Units",,,22.8263578405481,,
"AUT","Austria","P51S","Gross fixed capital formation, percentage of GDP","2000","2000",,,"0","Units",,,25.6116808815912,,
"AUT","Austria","P51S","Gross fixed capital formation, percentage of GDP","2001","2001",,,"0","Units",,,24.7966217719998,,
"AUT","Austria","P51S","Gross fixed capital formation, percentage of GDP","2002","2002",,,"0","Units",,,23.5305701513863,,
"AUT","Austria","P51S","Gross fixed capital formation, percentage of GDP","2003","2003",,,"0","Units",,,24.1081156475266,,
"AUT","Austria","P51S","Gross fixed capital formation, percentage of GDP","2004","2004",,,"0","Units",,,23.5915083524841,,
