code,region,year,value
DEU,Germany,2023,120.90781
GBR,United Kingdom,1990,49.85382439
GBR,United Kingdom,1991,45.10888015
GBR,United Kingdom,1992,41.83561708
GBR,United Kingdom,1993,40.24702804
GBR,United Kingdom,1994,40.66265999
GBR,United Kingdom,1995,39.70857902
GBR,United Kingdom,1996,39.75430573
GBR,United Kingdom,1997,42.44994334
GBR,United Kingdom,1998,46.66454552
GBR,United Kingdom,1999,51.37748611
GBR,United Kingdom,2000,58.89000032
GBR,United Kingdom,2001,63.11106437
GBR,United Kingdom,2002,72.70681182
GBR,United Kingdom,2003,82.9638554
GBR,United Kingdom,2004,91.04858434
GBR,United Kingdom,2005,95.49338705
GBR,United Kingdom,2006,99.8514069
GBR,United Kingdom,2007,108.090325
GBR,United Kingdom,2008,99.2961588
GBR,United Kingdom,2009,89.54283575
GBR,United Kingdom,2010,93.76249059
GBR,United Kingdom,2011,88.94414555
GBR,United Kingdom,2012,87.81343111
GBR,United Kingdom,2013,88.09899066
GBR,United Kingdom,2014,94.0099826
GBR,United Kingdom,2015,100
GBR,United Kingdom,2016,105.6583003
GBR,United Kingdom,2017,108.4799176
GBR,United Kingdom,2018,109.7419953
GBR,United Kingdom,2019,109.1386798
GBR,United Kingdom,2020,111.5702537
GBR,United Kingdom,2021,118.0358713
GBR,United Kingdom,2022,119.7155956
GBR,United Kingdom,2023,112.4490546
ITA,Italy,1990,112.1364272
ITA,Italy,1991,116.5961727
ITA,Italy,1992,117.7373658
ITA,Italy,1993,112.0332919
ITA,Italy,1994,103.5708817
ITA,Italy,1995,98.38870283
ITA,Italy,1996,91.39485476
ITA,Italy,1997,85.47941532
ITA,Italy,1998,85.63974444
ITA,Italy,1999,88.93156058
ITA,Italy,2000,93.38390839
ITA,Italy,2001,98.52193097
ITA,Italy,2002,104.8771873
ITA,Italy,2003,112.2280633
ITA,Italy,2004,120.4457891
ITA,Italy,2005,126.9981358
ITA,Italy,2006,131.6334124
ITA,Italy,2007,135.3885521
ITA,Italy,2008,133.4094202
ITA,Italy,2009,129.2394342
ITA,Italy,2010,126.6322862
ITA,Italy,2011,124.706006
ITA,Italy,2012,118.4265804
ITA,Italy,2013,109.5368304
ITA,Italy,2014,104.1095429
ITA,Italy,2015,100
ITA,Italy,2016,100.141834
ITA,Italy,2017,98.01873296
ITA,Italy,2018,96.55677112
ITA,Italy,2019,95.89119227
ITA,Italy,2020,97.59849383
ITA,Italy,2021,98.53082975
ITA,Italy,2022,95.09879722
ITA,Italy,2023,91.46560428
JPN,Japan,1990,163.8655677
JPN,Japan,1991,166.3079057
JPN,Japan,1992,157.2313698
JPN,Japan,1993,148.9420619
JPN,Japan,1994,144.7174083
JPN,Japan,1995,142.8822675
JPN,Japan,1996,140.0533637
JPN,Japan,1997,136.4139973
JPN,Japan,1998,133.9881895
JPN,Japan,1999,130.5624121
JPN,Japan,2000,126.8378481
JPN,Japan,2001,122.8838178
JPN,Japan,2002,118.0509174
JPN,Japan,2003,111.8930271
JPN,Japan,2004,105.6901326
JPN,Japan,2005,101.3490543
JPN,Japan,2006,98.34574081
JPN,Japan,2007,97.69629637
JPN,Japan,2008,97.51956829
JPN,Japan,2009,93.84968298
JPN,Japan,2010,96.64014107
JPN,Japan,2011,97.17425716
JPN,Japan,2012,96.91181131
JPN,Japan,2013,98.65590053
JPN,Japan,2014,98.19790152
JPN,Japan,2015,100
JPN,Japan,2016,102.5577027
JPN,Japan,2017,104.7595382
JPN,Japan,2018,106.0524005
JPN,Japan,2019,107.2560611
JPN,Japan,2020,106.993155
JPN,Japan,2021,112.6867234
JPN,Japan,2022,118.6507353
JPN,Japan,2023,118.6829846
