Series,Code
Exports trade in services EU SA,L854
Exports trade in services Non. EU SA,L855
Trade in Goods (T): Non-EU: Exports: BOP: CP: SA,L87M
Trade in Goods (T): EU: Exports: BOP: CP: SA,L87S
BoP: Current Account: Goods & Services: Exports: Switzerland: nsa,LGIL
BoP: Current Account: Goods & Services: Exports: Russia,LGIP
BoP: Current Account: Goods & Services: Exports: Brazil,LGIT
BoP: Current Account: Goods & Services: Exports: Canada: nsa,LGIU
BoP: Current Account: Goods & Services: Exports: United States of America: nsa,LGIW
BoP: Current Account: Goods & Services: Exports: China,LGIZ
BoP: Current Account: Goods & Services: Exports: Hong Kong,LGJA
BoP: Current Account: Goods & Services: Exports: India,LGJB
BoP: Current Account: Goods & Services: Exports: Japan: nsa,LGJE
Trade in Services(replaces 1.A.B) : Exports/Credits : Canada : sa,LJNZ
Secondary Income : Exports/Credits : Japan : sa,LJPC
Trade in Services(replaces 1.A.B) : Exports/Credits : USA : sa,LJPL
BoP: Current Account: Goods & Services: Exports: Japan: sa,LJQH
Trade in Goods (T): WW: Exports: BOP: CP: NSA,LQAD
Manufacturing and Maintenance Services - Exports - NSA,MTN4
Trade in Services (TS): Manufacturing and Maintenance Services: WW: Exports: BOP: CP: SA: £m,MTN7
BOP: Exports: NSA: EMU-Euro Area 19 members : £m,N3BZ
Trade in Goods: EMU(19): Exports: BOP: CP: SA,N3C5
Trade in Services Exports with Euro Area 19 SA,N3S4
Trade in Goods and Services Exports with Euro Area 19 SA,N3S7
Secondary Income Exports with Euro Area 19 SA,N3SG
Trade in Services Exports with Euro Area 19 NSA,N3SJ
Trade in Goods and Services Exports with Euro Area 19 NSA,N3SM
Secondary Income Exports with Euro Area 19 NSA,N3SP
BOP: Exports: Japan: NSA: Trade in goods,QAMJ
BOP: Exports: Canada: NSA: Trade in goods,QATH
BOP: Exports: NSA: Switzerland: Trade in goods,QDLC
BOP: Exports: NSA: Russia: Trade in goods,QDLO
BOP: Exports: NSA: Brazil: Trade in goods,QDLU
BOP: Exports: NSA: China: Trade in goods,QDMA
BOP: Exports: NSA: Hong Kong: Trade in goods,QDMD
BOP: Exports: NSA: India: Trade in goods,QDMG
Secondary Income : Exports/Credits : Canada : sa,XERW
Trade in Services(replaces 1.A.B) : Exports/Credits : Japan : sa,XEST
BoP: Current Account: Goods & Services: Exports: Canada: sa,XESZ
Secondary Income : Exports/Credits : USA : sa,XETA
BoP: Current Account: Goods & Services: Exports: United States of America: sa,XEUL
Exports of goods and services deflator: SA,YBFW
