Series,Code
Trade in Goods: Finished manufactures (7and8): WW: Exports: BOP: CP: NSA,BQMQ
Trade in Goods: Semi-manufactures (5and6): WW: Imports: BOP: CP: NSA,BQMR
"Trade in Goods: Food, beverages & tobacco (0and1): WW: Exports: BOP: CP: NSA",BQMV
"Trade in Goods: Food, beverages & tobacco (0and1): WW: Imports: BOP: CP: NSA",BQMW
Trade in Goods: Semi-manufactures (5and6): WW: Exports: BOP: CP: NSA,BQMX
BOP:IM:NSA:Finished manufactures: SITC 7+8,BQMY
Trade in Goods: Basic materials (2and4): WW: Imports: BOP: CP: NSA,BQNA
Trade in Goods: Oil (33): WW: Balance: BOP: CP: NSA,BQNE
Trade in Goods: Fuels other than oil (3OF): WW: Exports: BOP: CP: NSA,BQNF
Trade in Goods: Fuels other than oil (3OF): WW: Imports: BOP: CP: NSA,BQNG
Trade in Goods: Fuels other than oil (3OF): WW: Balance: BOP: CP: NSA,BQNH
Trade in Goods: Basic materials (2and4): WW: Balance: BOP: CP: NSA,BQOR
"Trade in Goods: Food, beverages & tobacco (0and1): WW: Balance: BOP: CP: NSA",BQOS
Trade in Goods: Semi-manufactures (5and6): WW: Balance: BOP: CP: NSA,BQOT
Trade in Goods: Unspecified goods (9): WW: Balance: BOP: CP: NSA,BQOU
Trade in Goods: Finished manufactures (7and8): WW: Balance: BOP: CP: NSA,BQOV
CG: Social trans in kind market production (D.632):CP NSA,C3FK
Total: PCs: F.514L £m level,C3O8
Households (S.14): Dividends (D.421) Resources: Current price: £m: NSA,C3ZT
NPISH (S.15): Dividends (D.421): Resources: Current price: £m: NSA,C3ZU
Households (S.14): Short-term debt securities issued by UK local government (F.31N2): Asset: Current price: £m: NSA,C46U
Households (S.14): Money market instruments issued by rest of world (F.31N9): Asset: Current price: £m: NSA,C46X
Non-money market fund investment funds (S.124): Debt securities (F.3): Asset: Current price: £million: NSA:,C5N7
FA level IP liab F419,C657
HHFCE: Financial intermediation services indirectly measured (FISIM) £M CP SA,C68W
HHFCE: Financial intermediation services indirectly measured (FISIM) £M CVM SA,C696
"FISIM: FISIM on loans to S.1313, local govt., CP NSA, £mn",C6FP
"FISIM: FISIM on deposits from S.1313, local govt., CP NSA, £mn",C6FQ
"FISIM: FISIM on loans to S.1311, central govt., CP NSA: £mn",C6G9
"FISIM: FISIM on deposits from S1311, central govt., CP NSA: £mn",C6GA
"FISIM: FISIM on deps from S.11001, public non-financial corps, CP NSA: £mn",C7RL
Non-money market fund investment funds (S.124): Debt securities (AF.3): Asset: Current price: £million: NSA:,CADV
Private non-financial corps. (S.11002+S.11003): Gross trading profits of UK non-continental shelf: Resource: CP £m: SA,CAED
"HH & NPISH (S.14 + S.15): Operating Surplus, gross (B.2g): Resources: Current price: £m: SA",CAEN
"Households (S.14): Operating Surplus, gross (B.2g) Resources: Current price: £m: SA",CAEO
"NPISH (S.15): Operating Surplus, gross (B.2g): Resources: Current price: £m: SA",CAEP
Gross Operating Surplus: NFCos: Public: Current price: SA £m,CAEQ
"Private non-financial corporations (S.1102+S.11003): Operating Surplus, gross (B.2G): Current price: £million: Seasonally adjusted",CAER
Net income from abroad: Current price: Seasonally adjusted £m,CAES
Changes in inventories (CP SA) including alignment adjustment £m,CAEX
Changes in inventories including alignment adjustment - CVM NAYear SA £m,CAFU
Private non-financial corps (S.11002+S.11003): Gross trading profits of UK continental shelf companies: Resource: CP £m: SA,CAGD
Gross Domestic Product (Expenditure) current basic prices: aligned:SA £m,CAGQ
Gross Domestic Product (Expenditure) chained volume measure SA £m,CAGR
Gross Domestic Product (Income) current basic prices: aligned: SA £m,CAGS
Non-money market fund investment funds (S.124): Debt securities (F.3): Liability: Current price: £million: NSA:,CAPF
Non-money market fund investment funds (S.124): Loans (F.4): Liability: Current price: £million: NSA:,CAPL
Non-money market fund investment funds (S.124): Debt securities (AF.3): Liability: Current price: £million: NSA:,CCBF
Non-money market fund investment funds (S.124): Loans (AF.4): Liability: Current price: £million: NSA:,CCWP
Non-money market fund investment funds (S.124): Total net acquisition of financial assets (F.A): Asset: Current price: £m: NSA:,CEP8
Non-money market fund investment funds (S.124): Currency and deposits (F.2): Asset: Current price: £million: NSA:,CEQ8
Non-money market fund investment funds (S.124): Currency (F.21): Asset: Current price: £million: NSA:,CER2
Non-money market fund investment funds (S.124): Deposits with UK monetary financial institutions (F.22N1): Asset: CP: £m: NSA:,CER6
Non-money market fund investment funds (S.124): Foreign currency deposits with UK banks (F.22N12): Asset: CP: £million: NSA:,CER8
NMMF investment funds (S.124): Deposits with rest of world monetary financial institutions (F.22N9): Asset: CP: £million: NSA:,CES2
Non-money market fund investment funds (S.124): Other deposits (F.29): Asset: Current price: £million: NSA:,CES4
NMMF investment funds (S.124): Short-term debt securities issued by UK central government (F.31N1): Asset: CP: £million: NSA:,CES6
NMMF investment funds (S.124): Short-term debt securities issued by UK local government (F.31N2): Asset: Current price: £m: NSA:,CES8
Non-money market fund investment funds (S.124): Short-term debt securities issued by UK MFIs (F.31N5): Asset: CP: £m: NSA:,CET2
NMMF investment funds (S.124): Money market instruments issued by other UK residents (F.31N6): Asset: CP: £million: NSA:,CET4
Non-money market fund investment funds (S.124): Money market instruments issued by rest of world (F.31N9): Asset: CP: £m: NSA:,CET6
NMMF investment funds (S.124): Long-term debt securities issued by UK central government (F.32N1): Asset: CP: £million: NSA:,CET8
NMMF investment funds (S.124): Long-term debt securities issued by UK local government (F.32N2): Asset: CP: £million: NSA:,CEU2
NMMF investment funds (S.124): Medium & long term bonds issued by UK MFI's & other UK residents (F.32N5-6): Asset: CP: £m: NSA:,CEU4
Non-money market fund investment funds (S.124): Long term bonds issued by the rest of the world (F.32N9): Asset: CP: £m: NSA:,CEU6
Non-money market fund investment funds (S.124): Equity and investment fund shares/units (F.5): Asset: Current price: £m: NSA:,CEW4
Non-money market fund investment funds (S.124): Listed UK shares (F.511N1): Asset: Current price: £million: NSA:,CEX2
Non-money market fund investment funds (S.124): Unlisted UK shares (F.512N1): Asset: Current price: £million: NSA:,CEX6
Non-money market fund investment funds (S.124): UK shares and bonds issued by other UK residents (F.519N7): Asset: CP: £m: NSA:,CEY2
NMMF investment funds (S.124): Shares and other equity issued by the rest of the world (F.519N9): Asset: CP: £million: NSA:,CEY4
Non-money market fund investment funds (S.124): UK mutual funds' shares (F.52N1): Asset: Current price: £million: NSA:,CEY8
Non-money market fund investment funds (S.124): Rest of the world mutual funds' shares (F.52N9): Asset: Current price: £m: NSA:,CEZ2
"Non-money market fund investment funds (S.124): Insurance, pension and standardised guarantee schemes (F.6): Asset: CP: £m: NSA: ",CEZ4
Non-money market fund investment funds (S.124): Non-life insurance technical reserves (F.61): Asset: Current price: £m: NSA:,CEZ6
Non-money market fund investment funds (S.124): Financial derivatives and employee stock options (F.7): Asset: CP: £m: NSA:,CF2C
Non-money market fund investment funds (S.124): Financial derivatives (F.71): Asset: Current price: £million: NSA:,CF2E
Non-money market fund investment funds (S.124): Other accounts receivable/payable (F.8): Asset: Current price: £million: NSA:,CF2I
Non-money market fund investment funds (S.124): Total financial assets (AF.A): Asset: Current price: £million: NSA:,CF8V
Non-money market fund investment funds (S.124): Currency and deposits (AF.2): Asset: Current price: £million: NSA:,CF95
Non-money market fund investment funds (S.124): Currency (AF.21): Asset: Current price: £million: NSA:,CF97
Non-money market fund investment funds (S.124): Deposits with UK monetary financial institutions (AF.22N1): Asset: CP: £m: NSA:,CF9B
Non-money market fund investment funds (S.124): Foreign currency deposits with UK banks (AF.22N12): Asset: CP: £million: NSA:,CF9D
NMMF investment funds (S.124): Deposits with rest of world monetary financial institutions (AF.22N9): Asset: CP: £m: NSA:,CF9F
Non-money market fund investment funds (S.124): Other deposits (AF.29): Asset: Current price: £million: NSA:,CF9H
NMMF investment funds (S.124): Short-term debt securities issued by UK local government (AF.31N2): Asset: CP: £million: NSA:,CF9L
NMMF investment funds (S.124): Short-term debt securities issued by UK MFIs (AF.31N5): Asset: CP: £m: NSA:,CF9N
NMMF investment funds (S.124): Medium & long term bonds issued by UK MFI's & other UK residents (AF.32N5-6): Asset: CP: £m: NSA:,CF9X
Non-money market fund investment funds (S.124): Long term bonds issued by the rest of the world (AF.32N9): Asset: CP: £m: NSA:,CF9Z
Non-money market fund investment funds (S.124): Equity and investment fund shares/units (AF.5): Asset: Current price: £m: NSA:,CFB7
Non-money market fund investment funds (S.124): Listed UK shares (AF.511N1): Asset: Current price: £million: NSA:,CFC5
Non-money market fund investment funds (S.124): Unlisted UK shares (AF.512N1): Asset: Current price: £million: NSA:,CFC9
Non-money market fund investment funds (S.124): UK shares and bonds issued by other UK residents (AF.519N7): Asset: CP: £m: NSA:,CFD5
NMMF investment funds (S.124): Shares and other equity issued by the rest of the world (AF.519N9): Asset: CP: £m: NSA:,CFD7
Non-money market fund investment funds (S.124): UK mutual funds' shares (AF.52N1): Asset: Current price: £million: NSA:,CFE2
Non-money market fund investment funds (S.124): Rest of the world mutual funds' shares (AF.52N9): Asset: Current price: £m: NSA:,CFE4
"NMMF investment funds (S.124): Insurance, pension and standardised guarantee schemes (AF.6): Asset: CP: £million: NSA:  ",CFE6
Non-money market fund investment funds (S.124): Non-life insurance technical reserves (AF.61): Asset: Current price: £m: NSA:,CFE8
Non-money market fund investment funds (S.124): Financial derivatives and employee stock options (AF.7): Asset: CP: £m: NSA:,CFG3
Non-money market fund investment funds (S.124): Financial derivatives (AF.71): Asset: Current price: £million: NSA:,CFG5
Non-money market fund investment funds (S.124): Other accounts receivable/payable (AF.8): Asset: Current price: £million: NSA:,CFG9
CG Assets F.34 Financial derivatives,CFZG
ESA:PC:AS:FLOW:Direct Investment Loans,CFZI
ESA:PC:Liab:Flow:Direct Investment Loans,CFZJ
Gross Value Added at basic prices: Implied deflator:SA,CGBV
Income based: Other income: CP NSA,CGBW
Income based: Other income: CP SA £m,CGBX
Income based: Gross operating surplus of corporations : Total: CP NSA,CGBY
Income based: Gross operating surplus of corporations : Total: CP SA £m,CGBZ
Income based: Gross value added at factor cost: CP NSA,CGCA
Income based: Gross value added at factor cost: CP SA £m,CGCB
Gross value added at basic prices:CVM:Index:SA,CGCE
IMF IIP: Reserve Assets: Currency & deposits: CP NSA: £m,CGDD
IMF IIP:Reserve Assets:Currency & deposits with monetary authorities:CP NSA: £m,CGDE
IMF IIP: Reserve Assets Currency & Deposits with banks: 8 855: CP NSA: £m,CGDF
BoP: IIP: Reserve assets: Other assets: Total securities: NSA £m,CGDG
IMF IIP: Reserve Assets: Securities Bonds & Notes: CP NSA: £m,CGDH
IMF IIP: Reserve assets: Securities: MMIs & financial derivatives:CP NSA: £m,CGDL
Secondary Income Credits: Central Govt Other receipts: CP SA £m,CGDN
"Secondary Income Credits: Other sectors, other receipts: CP SA: £m",CGDO
Secondary Income debits; Central Government Other Payments: CP SA: £m,CGDP
Secondary Income Debits; Other sectors payments to EU: CP SA: £m,CGDR
"Secondary Income debits: Other sectors, other payments: CP SA: £m",CGDS
BoP Inc PI Credits total equity securities SA £m,CGDT
BoP Inc PI Credits total debt securities SA £m,CGDU
BoP Inc PI Credits SA £m,CGDV
BoP Inc OI Credits SA £m,CGDW
BoP Inc OI Debits Debt securities SA £m,CGDX
BoP Inc PI Debits SA £m,CGDZ
BoP Inc OI Debits SA £m,CGEB
BoP Inc PI Balance total equity securities SA £m,CGEC
BoP Inc PI Balance total debt securities SA £m,CGED
BoP Inc PI Balance SA £m,CGEE
BoP Inc OI Balance SA £m,CGFF
BoP FA OI Liabilities level long-term trade credit received by UK cos NSA £m,CGJF
FDI : Inward : Property : Total Net Investment : nsa : £m,CGLO
FDI : Outward : Total NFC & FCs : Level of Other Capital due to parent :nsa : £m,CGLS
BoP IIP PI Assets level UK NBPS holdings of foreign notes & coins NSA £m,CGML
FDI : Outward : Total FDI : Level of Equity Capital & Reinvested Earnings : £m,CGMO
BoP Inc OI Net NSA £m,CGNA
BoP Inc credits MFI's earnings NSA £m,CGND
BoP: IIP: PI: Net level: Equity securities and investment fund shares: NSA £m,CGNE
BoP IIP PI Net level debt securities NSA £m,CGNF
BoP IIP OI Net NSA £m,CGNG
BoP IIP PI Net NSA £m,CGNH
BoP IIP Asset level total MFI's NSA £m,CGNJ
BoP IIP Asset level total CG NSA £m,CGNK
BoP IIP Asset level total PNFC's NSA £m,CGNL
BoP IIP Asset level total other sectors NSA £m,CGNM
BoP Inc credits total PC's NSA £m,CGNP
BoP Inc credits total other sectors NSA £m,CGNW
BoP Inc credits total CG's NSA £m,CGNY
BoP Inc debits total CG's NSA £m,CGNZ
BoP Inc debits total LA's NSA £m,CGOB
BoP Inc debits total PC's NSA £m,CGOD
BoP Inc balance total CG's NSA £m,CGOE
BoP Inc balance total PC's NSA £m,CGOF
BoP IIP Net Liabilities level total CG NSA £m,CGOG
BoP IIP Net Liabilities level total LA's NSA £m,CGOH
BoP IIP Net Liabilities level total PC's NSA £m,CGOI
BoP IIP Net level total CG NSA £m,CGOK
BoP IIP Net level total PNFC's NSA £m,CGOL
BoP Inc debits total MFI's NSA £m,CGPN
BoP Inc debits total other sectors NSA £m,CGSE
BoP Inc balance total MFI's NSA £m,CGSO
BoP Inc balance total other sectors NSA £m,CGTX
BoP FA Liability flow total MFIs NSA £m (UK Liabs/net credits),CGUL
"Private non-financial corporations (S.1102+S.11003): Investment grants, receivable (D.92r): Current price: £m: Seasonally adjusted",CIDZ
Capital Consumption (£m): S.1: TOTAL: Ind TOTAL: CVM,CIHA
PNFC D99p Other capital transfers payable £m cp nsa,CISB
Non-money market fund investment funds (S.124): Total net acquisition of financial liabilities (F.L): Liability: CP: £m: NSA:,CJQI
Non-money market fund investment funds (S.124): MMIs issued by other UK residents (F.31N6): Liability: Current price: £m: NSA:,CK4T
Non-money market fund investment funds (S.124): Med & LT bonds by UK MFIs & other UK res (F.32N5-6): Liability: CP: £m: NSA:,CK74
Non-money market fund investment funds (S.124): Short term loans by UK MFIs (F.41N1): Liability: Current price: £million: NSA:,CK76
Non-money market fund investment funds (S.124): Foreign currency loans by UK banks (F.41N12): Liability: Current price: £m: NSA:,CK78
Non-money market fund investment funds (S.124): Short term loans by rest of world (F.41N9): Liability: Current price: £m: NSA:,CK7A
Non-money market fund investment funds (S.124): Direct investment (F.421): Liability: Current price: £million: NSA:,CK7C
Non-money market fund investment funds (S.124): Finance leasing (F.423): Liability: Current price: £million: NSA:,CK7E
Non-money market fund investment funds (S.124): Other long-term loans by UK residents (F.424N1): Liability: CP: £million: NSA:,CK7L
Non-money market fund investment funds (S.124): Long-term loans by rest of world (F.424N9): Liability: Current price: £m: NSA:,CK88
Non-money market fund investment funds (S.124): Equity and investment fund shares/units (F.5): Liability: CP: £million: NSA:,CK8C
Non-money market fund investment funds (S.124): UK mutual funds' shares (F.52N1): Liability: Current price: £million: NSA:,CKBQ
"Non-money market fund investment funds (S.124): Ins, pension & standardised guarantee schemes (F.6): Liability: CP: £m: NSA:  ",CKBS
"Non-money market fund investment funds (S.124): Pens ents, claims of PFs on pension mgrs etc. (F.6M): Liability: CP: £m: NSA:  ",CKEZ
Non-money market fund investment funds (S.124): Financial derivatives and employee stock options (F.7): Liability: CP: £m: NSA:,CKFI
Non-money market fund investment funds (S.124): Other accounts receivable/payable (F.8): Liability: Current price: £m: NSA:,CKR7
whole economy: D2 less D3: pre-ESA95 factor cost adjustment: SA CP £m,CMVL
Non-money market fund investment funds (S.124): Total financial liabilities (AF.L): Liability: Current price: £million: NSA:,COKK
Non-money market fund investment funds (S.124): MMIs issued by other UK residents (AF.31N6): Liability: Current price: £m: NSA:,COLA
Non-money market fund investment funds (S.124): Med & LT bonds by UK MFIs & other UK res (AF.32N5-6): Liability: CP: £m: NSA:,COLE
Non-money market fund investment funds (S.124): Short term loans by UK MFIs (AF.41N1): Liability: Current price: £million: NSA:,COLG
Non-money market fund investment funds (S.124): Foreign currency loans by UK banks (AF.41N12): Liability: CP: £m: NSA:,COLI
Non-money market fund investment funds (S.124): Short term loans by rest of world (AF.41N9): Liability: Current price: £m: NSA:,COLK
Non-money market fund investment funds (S.124): Direct investment (AF.421): Liability: Current price: £million: NSA:,COLM
Non-money market fund investment funds (S.124): Finance leasing (AF.423): Liability: Current price: £million: NSA:,COLO
Non-money market fund investment funds (S.124): Other long-term loans by UK residents (AF.424N1): Liability: CP: £m: NSA:,COLS
Non-money market fund investment funds (S.124): Long-term loans by rest of world (AF.424N9): Liability: Current price: £m: NSA:,COLU
Non-money market fund investment funds (S.124): Equity and investment fund shares/units (AF.5): Liability: CP: £m: NSA:,COLW
Non-money market fund investment funds (S.124): UK mutual funds' shares (AF.52N1): Liability: Current price: £million: NSA:,COMT
"Non-money market fund investment funds (S.124): Ins, pension & standardised guarantee schemes (AF.6): Liability: CP: £m: NSA:  ",COMV
"Non-money market fund investment funds (S.124): Pens ents, claims of PFs on pension mgrs etc. (AF.6M): Liability: CP: £m: NSA:  ",CONJ
